PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
4387,Unknown,2640,6.363117,6.470033,6.520317,274.9291,5263860,18640400,,[M-H]-,M + 1,isotope of 4386,,,,,,,999,FALSE,FALSE,FALSE,,,,,,30.54438,274.92938:2097113 274.99005:568325 275.03964:64044 275.06668:58875 275.14984:66417 275.92307:8900899 275.97421:140678 275.98291:92165 275.99268:79809 276.08838:77911 276.92667:612998 276.98691:306232 276.99567:176297 277.00549:193803 277.02081:59296 277.92062:849831 278.92307:68746 279.00812:102053 279.03687:149456 279.12421:69037,50.94224:3893 52.98758:3908 53.95323:3734 59.01239:4082 59.98526:4395 63.83347:3896 79.14626:4207 79.95627:127640 80.96346:6513 95.30367:4119 103.31863:4673 135.05556:6059 163.96581:16127 164.9709:51787 165.96338:36320 166.96817:90396 181.0157:5182 186.15608:4199 192.96468:6233 194.96318:9452 197.92188:4340 198.091:4427 205.9351:4146 215.12875:12446 231.07787:5400 236.95488:17281 238.95306:32408 274.99118:107068 275.03452:6626 275.06046:9198 275.15118:7622
4388,Unknown,2640,6.382317,6.470033,6.520317,275.9231,21957998,78458072,,[M-H]-,M + 0,,,,,,,,999,FALSE,FALSE,FALSE,,,,,,104.0079,275.92307:8900899 275.97421:140678 275.98291:92165 275.99268:79809 276.08838:77911 276.92667:612998 276.98691:306232 276.99567:176297 277.00549:193803 277.02081:59296 277.92062:849831 278.92307:68746 279.00812:102053 279.03687:149456 279.12421:69037 280.00537:57271 280.0397:376987,65.99699:3075 71.01254:1339 79.95618:17441 80.96394:7391 97.97872:1314 99.97638:2969 114.00981:1603 115.00231:1223 120.90055:8571 123.78005:1072 126.9945:2588 135.05554:1366 136.03894:1507 148.24918:1026 159.97223:10729 163.96777:2964 165.96333:350621 166.96764:1359 167.96037:174828 187.98587:1590 188.07147:2265 190.95703:5106 193.9597:43431 195.95546:23698 231.99344:1644 237.95029:85068 239.94699:43044 275.92334:2726 275.97552:8416 276.0625:1322 276.08862:1224 276.1539:1354
4396,Unknown,2640,6.2396,6.470033,6.520317,544.8655,5587916,17069908,,[M-H]-,M + 0,,,,,,,,999,FALSE,FALSE,FALSE,,,,,,123.0684,544.86554:2590669 545.86835:436867 546.86145:4442008 547.86664:983590 548.85895:3671278 549.86353:479316,52.36496:5100 62.85089:5572 70.81544:5366 77.15311:5157 80.80339:6046 112.79115:5735 144.51697:6197 155.57945:6808 163.96619:153923 176.83458:6818 189.91728:7718 191.96181:16970 212.27538:6504 235.95131:48678 288.65479:6500 515.22363:6968
4398,Unknown,2640,6.230567,6.470033,6.520317,546.8615,10521966,32212898,,[M-H]-,M + 0,,,,,,,,999,FALSE,FALSE,FALSE,,,,,,268.9337,546.86145:4442008 547.86664:983590 548.85895:3671278 549.86353:479316 550.85522:1422504 551.8595:264534,50.16428:5711 58.25272:5473 79.95583:13773 80.96346:7572 82.42929:6334 90.62694:6319 110.4348:5833 145.36603:6675 163.96611:389382 165.96347:187036 171.42815:6556 191.96115:36562 193.9575:15258 235.95166:56482 237.94781:30868 304.56894:7041 536.52753:7102
4402,Unknown,2640,6.2396,6.470033,6.520317,550.8552,3597366.75,11317384,,[M-H]-,M + 0,,,,,,,,999,FALSE,FALSE,FALSE,,,,,,120.3782,550.85522:1422504 551.8595:264534 552.85303:300462,66.10698:2310 79.95583:6581 80.96346:5284 91.95223:2387 107.24937:3021 125.81239:2534 135.05556:4621 163.9662:57287 165.96359:161597 167.96049:56523 191.96181:9008 193.96011:16793 195.95587:6996 205.40636:2765 235.95145:27591 237.95067:66780 239.94762:25627 267.13599:3029 273.927:13612 275.92487:12890 295.3172:3011 390.14935:3265 462.98276:2699
4424,Unknown,2713,6.574266,6.6893,6.832567,265.991,1349432.875,7559453.5,,[M-H]-,M + 0,,,,,,,,999,FALSE,FALSE,FALSE,,,,,,8.053626,265.9726:13018 265.99097:514839 266.02396:33001 266.05072:9683 266.10422:6323 266.99377:37517 267.00974:6015 267.02786:4287 267.04514:36807 267.06512:3120 267.08893:10718 267.12488:25674 267.16138:4836 267.97922:7014 267.98746:172491 268.02081:10293 268.03018:7543 268.04044:11518 268.04892:4861 268.12073:2922 268.12802:2588 268.97748:2494 268.99155:16736 269.00781:3054 269.02457:6372 269.03503:22093 269.04968:4216 269.06119:17017 269.104:33579 269.13132:3518 269.14023:10791 269.2142:5861 269.2507:3703 269.97607:2588 269.9866:11146 270.0108:8043 270.01923:3373 270.03711:2768 270.04553:3863 270.05499:10829 270.07806:7917 270.10025:2610 270.10867:4690 270.48907:2383 270.98553:13649,55.72755:3188 57.93563:3727 66.30882:3703 79.95629:58817 80.96346:17387 130.11594:4654 133.01564:6591 230.18092:4593 247.82558:4436 250.96696:248503 265.98801:36337
4425,Unknown,2747,6.665833,6.788183,6.956717,273.0438,7179786,42903192,,[M-H]-,M + 0,similar chromatogram in higher mz_4429,,,,,,,999,FALSE,FALSE,FALSE,,,,,,30.59116,273.00198:24647 273.04376:3221596 273.08798:27482 273.13458:70109 273.92645:53063 273.95862:8094 273.9855:17787 274.04797:377511 274.11996:12382 274.13828:10634 274.88242:12910 274.98944:15149 275.04025:126589 275.04892:52117 275.05972:16798 275.06839:17840 275.09326:9530 275.1041:10397 275.15024:37792 275.52097:14537 275.92264:17221 275.98352:13357 276.00092:9312 276.02594:13719 276.04333:13643 276.08792:22010 276.09882:9942 276.99628:9206 277.00504:26446 277.03891:8947 277.07611:12488 277.08377:22350 277.10809:28493 277.11877:12434 277.98056:13820 277.98935:32869 278.00143:9487,63.25406:3736 65.06219:4581 65.21828:4630 65.22527:3842 79.95599:37757 80.96414:15072 91.86698:4177 102.78975:4337 109.0284:5802 121.58651:4200 137.024:4598 138.03081:50257 154.01939:4316 189.47122:4868 200.98627:17300 201.99274:669712 241.04446:5890 273.04239:749966
4426,Unknown,2750,6.698317,6.7956,6.921317,244.9715,1746200.625,10474714,,[M-H]-,M + 0,,,,,,,,999,FALSE,FALSE,FALSE,,,,,,4.786488,244.97147:303004 245.97466:22400 246.00758:19293 246.96742:13962 247.06404:72851 248.01344:37395 248.97388:15337 249.08009:16362 249.08755:16136 249.18547:21861,54.23701:958 57.03283:1254 64.05656:964 79.95628:23657 80.96398:94894 81.95153:3291 82.95924:1233 83.12144:1174 92.99386:1777 96.95834:3935 120.98852:1572 122.05966:1172 128.98448:1064 136.8477:1057 140.99535:2819 151.59717:1153 201.06467:1456 204.95753:2186 224.96484:22502 230.03523:2171 234.09906:1402 244.97153:106816 245.04651:14576
4430,Unknown,2758,6.72205,6.81775,6.9653,350.0105,2544244.25,13494759,,[M-H]-,M + 0,similar chromatogram in higher mz_4427,,,,,,,999,FALSE,FALSE,FALSE,,,,,,15.57056,350.0105:935756 350.96112:11591 351.01456:113738 351.03241:69351 351.06558:12486 351.07495:10421 351.10925:8612 351.14514:25391 352.00793:319566 352.05029:8390 352.05969:14203 352.93066:9607 353.01059:50124 353.08163:14994 353.12411:9361 353.1619:8219 353.96112:8756 354.00375:8565 354.03851:11278 355.0072:7669,54.55131:4503 58.51293:4357 79.95583:5111 80.96394:79750 84.61332:4549 126.63287:5188 141.18451:4848 188.55681:5089 250.03833:5535 268.03668:90301 271.02094:5695 281.81085:5965 326.92313:5865 350.01123:226253
4432,Unknown,2761,6.7539,6.8252,6.84575,226.9539,7218053.5,20407362,,[M-H]-,M + 0,,,,,,,,999,FALSE,FALSE,FALSE,,,,,,78.61192,226.95392:3498847 226.99452:10094 227.03813:50947 227.04562:15965 227.09187:24007 227.1292:15414 227.20146:15745 227.92918:18113 227.95689:167642 227.97897:14801 228.04102:25780 228.1235:27985 228.95087:1188524 229.01744:80078 229.02736:23061 229.05367:127663 229.06523:48788 229.10791:30244 229.95415:39979 230.04906:11756 231.0443:34012 231.06941:95191 231.07762:26663 231.12343:32694,51.15812:3037 54.03188:3854 68.2751:4116 80.96346:4407 85.19135:4189 91.18513:4166 92.23557:3934 96.96469:12503 102.32577:3913 124.60182:4116 135.3508:3987 162.95721:106571 167.34071:4113 227.01749:5967 227.03595:23406 227.12782:5564 227.20251:13819
