SMILES,Formula,formula1,mz,Ref
CC(F)C(F)C(F)(F)F,C4H5F5,C4H5F5,147.0238613,EPA_Dashboard
O=NC(F)(F)C(F)(F)F,C2F5NO,C2F5N1O1,147.9827247,EPA_Dashboard
NC(F)(F)C(F)(F)CF,C3H4F5N,C3H4F5N1,148.0191102,EPA_Dashboard
O=S(=O)(O)C(F)(F)F,CHF3O3S,C1H1F3O3S1,148.9525696,EPA_Dashboard
CC(F)(F)C(F)(F)Cl,C3H3ClF4,C3H3Cl1F4,148.9786607,EPA_Dashboard
FC(CCl)C(F)(F)F,C3H3ClF4,C3H3Cl1F4,148.9786607,EPA_Dashboard
FC(F)C(F)(F)CCl,C3H3ClF4,C3H3Cl1F4,148.9786607,EPA_Dashboard
CC(F)(Cl)C(F)(F)F,C3H3ClF4,C3H3Cl1F4,148.9786607,EPA_Dashboard
FC1(F)C(F)(F)C1(F)F,C3F6,C3F6,148.9831393,EPA_Dashboard
FCOC(F)(F)C(F)F,C3H3F5O,C3H3F5O1,149.0031258,EPA_Dashboard
FCOC(F)C(F)(F)F,C3H3F5O,C3H3F5O1,149.0031258,EPA_Dashboard
OC(F)(F)C(F)(F)CF,C3H3F5O,C3H3F5O1,149.0031258,EPA_Dashboard
FCC(F)(F)OC(F)F,C3H3F5O,C3H3F5O1,149.0031258,EPA_Dashboard
COC(F)(F)C(F)(F)F,C3H3F5O,C3H3F5O1,149.0031258,EPA_Dashboard
CC(F)(F)OC(F)(F)F,C3H3F5O,C3H3F5O1,149.0031258,EPA_Dashboard
[O]OC(F)(F)C(F)(F)F,C2F5O2,C2F5O2,149.9745653,EPA_Dashboard
FC(F)OC(F)(F)Cl,C2HClF4O,C2H1Cl1F4O1,150.9579252,EPA_Dashboard
N#CC(F)(F)C(F)(F)C#N,C4F4N2,C4F4N2,150.9924809,EPA_Dashboard
FC(F)(F)CC(F)(F)F,C3H2F6,C3H2F6,150.9987894,EPA_Dashboard
FCC(F)(F)C(F)(F)F,C3H2F6,C3H2F6,150.9987894,EPA_Dashboard
FC(F)C(F)(F)C(F)F,C3H2F6,C3H2F6,150.9987894,EPA_Dashboard
C=C1C(=C)C(F)(F)C1(F)F,C6H4F4,C6H4F4,151.017633,EPA_Dashboard
N#CC1CC(F)(F)C1(F)F,C5H3F4N,C5H3F4N1,152.012882,EPA_Dashboard
FC(F)(F)C(F)(F)Cl,C2ClF5,C2Cl1F5,152.9535888,EPA_Dashboard
FC(F)(F)OC(F)(F)F,C2F6O,C2F6O1,152.9780539,EPA_Dashboard
C=CC(F)(F)C(F)(F)C=C,C6H6F4,C6H6F4,153.0332831,EPA_Dashboard
C=CC1CC(F)(F)C1(F)F,C6H6F4,C6H6F4,153.0332831,EPA_Dashboard
O=C1C(=O)C(F)(F)C1(F)F,C4F4O2,C4F4O2,154.9761621,EPA_Dashboard
C=C=COC(F)(F)C(F)F,C5H4F4O,C5H4F4O1,155.0125476,EPA_Dashboard
CC1C(C)C(F)(F)C1(F)F,C6H8F4,C6H8F4,155.0489331,EPA_Dashboard
COC(F)(F)C(F)(F)C#N,C4H3F4NO,C4H3F4N1O1,156.0077966,EPA_Dashboard
CN(C)C=C(F)C(F)(F)F,C5H7F4N,C5H7F4N1,156.0441821,EPA_Dashboard
O=C1OCC(F)(F)C1(F)F,C4H2F4O2,C4H2F4O2,156.9918122,EPA_Dashboard
O=C(O)C1C(F)(F)C1(F)F,C4H2F4O2,C4H2F4O2,156.9918122,EPA_Dashboard
C=CCOC(F)(F)C(F)F,C5H6F4O,C5H6F4O1,157.0281977,EPA_Dashboard
O=C1OC(F)(F)C(F)(F)O1,C3F4O3,C3F4O3,158.9710767,EPA_Dashboard
O=C1C(F)C(F)(F)C1(F)F,C4HF5O,C4H1F5O1,158.9874758,EPA_Dashboard
COC(=O)C(F)C(F)(F)F,C4H4F4O2,C4H4F4O2,159.0074622,EPA_Dashboard
OC1OCC(F)(F)C1(F)F,C4H4F4O2,C4H4F4O2,159.0074622,EPA_Dashboard
CC(F)(C(=O)O)C(F)(F)F,C4H4F4O2,C4H4F4O2,159.0074622,EPA_Dashboard
CC(F)(F)C(F)(F)C(=O)O,C4H4F4O2,C4H4F4O2,159.0074622,EPA_Dashboard
COC(=O)C(F)(F)C(F)F,C4H4F4O2,C4H4F4O2,159.0074622,EPA_Dashboard
FC1CCC(F)(F)C1(F)F,C5H5F5,C5H5F5,159.0238613,EPA_Dashboard
C=CCC(F)(F)C(F)(F)F,C5H5F5,C5H5F5,159.0238613,EPA_Dashboard
CCCOC(F)(F)C(F)F,C5H8F4O,C5H8F4O1,159.0438478,EPA_Dashboard
CC(C)(O)C(F)(F)C(F)F,C5H8F4O,C5H8F4O1,159.0438478,EPA_Dashboard
CC(C)OC(F)(F)C(F)F,C5H8F4O,C5H8F4O1,159.0438478,EPA_Dashboard
NCC(F)(F)C(F)(F)CN,C4H8F4N2,C4H8F4N2,159.0550811,EPA_Dashboard
FC1(F)CC(Cl)C1(F)F,C4H3ClF4,C4H3Cl1F4,160.9786607,EPA_Dashboard
FC1(F)C2(F)C(F)(F)C12F,C4F6,C4F6,160.9831393,EPA_Dashboard
O=C(O)C(O)(F)C(F)(F)F,C3H2F4O3,C3H2F4O3,160.9867268,EPA_Dashboard
O=C(O)C(F)(F)OC(F)F,C3H2F4O3,C3H2F4O3,160.9867268,EPA_Dashboard
COC(F)=C(F)C(F)(F)F,C4H3F5O,C4H3F5O1,161.0031258,EPA_Dashboard
N=C(N)C(F)(F)C(F)(F)F,C3H3F5N2,C3H3F5N2,161.0143592,EPA_Dashboard
COC(F)(F)C(F)(F)OC,C4H6F4O2,C4H6F4O2,161.0231123,EPA_Dashboard
COC(O)C(F)(F)C(F)F,C4H6F4O2,C4H6F4O2,161.0231123,EPA_Dashboard
OCC(F)(F)C(F)(F)CO,C4H6F4O2,C4H6F4O2,161.0231123,EPA_Dashboard
COC(F)(OC)C(F)(F)F,C4H6F4O2,C4H6F4O2,161.0231123,EPA_Dashboard
ON=C(F)C(F)C(F)(F)F,C3H2F5NO,C3H2F5N1O1,161.9983748,EPA_Dashboard
O=C(Cl)C(F)(F)C(F)F,C3HClF4O,C3H1Cl1F4O1,162.9579252,EPA_Dashboard
FC1(F)CC(F)(F)C1(F)F,C4H2F6,C4H2F6,162.9987894,EPA_Dashboard
C=C(F)C(F)(F)C(F)(F)F,C4H2F6,C4H2F6,162.9987894,EPA_Dashboard
FC1C(F)C(F)(F)C1(F)F,C4H2F6,C4H2F6,162.9987894,EPA_Dashboard
FC(F)(F)C1(F)CC1(F)F,C4H2F6,C4H2F6,162.9987894,EPA_Dashboard
COCC(F)(F)C(F)(F)F,C4H5F5O,C4H5F5O1,163.0187759,EPA_Dashboard
CCOC(F)(F)C(F)(F)F,C4H5F5O,C4H5F5O1,163.0187759,EPA_Dashboard
COC(F)(C(F)F)C(F)F,C4H5F5O,C4H5F5O1,163.0187759,EPA_Dashboard
N=C(C(F)(F)F)C(F)(F)F,C3HF6N,C3H1F6N1,163.9940384,EPA_Dashboard
FC(Cl)=C(F)C(F)(F)F,C3ClF5,C3Cl1F5,164.9535888,EPA_Dashboard
FC(F)C(F)(F)COCl,C3H3ClF4O,C3H3Cl1F4O1,164.9735753,EPA_Dashboard
COC(F)(F)C(F)(F)Cl,C3H3ClF4O,C3H3Cl1F4O1,164.9735753,EPA_Dashboard
FC(OCCl)C(F)(F)F,C3H3ClF4O,C3H3Cl1F4O1,164.9735753,EPA_Dashboard
FC1(F)OC(F)(F)C1(F)F,C3F6O,C3F6O1,164.9780539,EPA_Dashboard
O=C(C(F)(F)F)C(F)(F)F,C3F6O,C3F6O1,164.9780539,EPA_Dashboard
FC(F)(F)C1(F)OC1(F)F,C3F6O,C3F6O1,164.9780539,EPA_Dashboard
FCCC(F)(F)C(F)(F)F,C4H4F6,C4H4F6,165.0144394,EPA_Dashboard
CC(F)(F)C(F)(F)C(F)F,C4H4F6,C4H4F6,165.0144394,EPA_Dashboard
