acc,pre,rec,f1
0.9795918367346939,1.0,0.8333333333333334,0.9090909090909091
0.9183673469387755,0.967741935483871,0.9090909090909091,0.9374999999999999
0.8979591836734694,0.0,0.0,0.0
0.9183673469387755,0.8181818181818182,0.8181818181818182,0.8181818181818182
0.9183673469387755,0.8181818181818182,0.8181818181818182,0.8181818181818182
0.9183673469387755,0.8181818181818182,0.8181818181818182,0.8181818181818182
0.9591836734693877,0.9,0.9,0.9
0.9183673469387755,0.9166666666666666,0.7857142857142857,0.8461538461538461
0.9387755102040817,1.0,0.5,0.6666666666666666
0.9387755102040817,0.9375,1.0,0.967741935483871
0.9387755102040817,0.8181818181818182,0.9,0.8571428571428572
0.9387755102040817,0.8181818181818182,0.9,0.8571428571428572
0.8775510204081632,0.8333333333333334,0.9090909090909091,0.8695652173913043
0.7551020408163265,0.7647058823529411,0.6190476190476191,0.6842105263157895
0.9387755102040817,0.75,0.8571428571428571,0.7999999999999999
0.7551020408163265,0.6956521739130435,0.7619047619047619,0.7272727272727272
0.9387755102040817,0.8181818181818182,0.9,0.8571428571428572
0.8367346938775511,0.7777777777777778,0.7777777777777778,0.7777777777777778
0.9591836734693877,1.0,0.7142857142857143,0.8333333333333333
0.9387755102040817,0.9615384615384616,0.9259259259259259,0.9433962264150944
0.8979591836734694,0.9666666666666667,0.8787878787878788,0.9206349206349207
0.9183673469387755,0.75,0.5,0.6
0.8367346938775511,0.6842105263157895,0.8666666666666667,0.7647058823529413
0.8775510204081632,0.9666666666666667,0.8529411764705882,0.90625
0.8979591836734694,1.0,0.375,0.5454545454545454
0.9183673469387755,0.9285714285714286,0.8125,0.8666666666666666
0.9183673469387755,0.9285714285714286,0.8125,0.8666666666666666
0.9795918367346939,1.0,0.8333333333333334,0.9090909090909091
0.6938775510204082,1.0,0.5454545454545454,0.7058823529411764
0.8571428571428571,0.92,0.8214285714285714,0.8679245283018867
0.7551020408163265,0.72,0.782608695652174,0.7499999999999999
0.8163265306122449,1.0,0.64,0.7804878048780487
0.8367346938775511,0.8529411764705882,0.90625,0.8787878787878787
0.9183673469387755,0.9166666666666666,1.0,0.9565217391304348
0.9183673469387755,0.9666666666666667,0.90625,0.9354838709677419
0.8367346938775511,0.8928571428571429,0.8333333333333334,0.8620689655172413
0.9387755102040817,0.75,0.8571428571428571,0.7999999999999999
0.9591836734693877,1.0,0.6,0.7499999999999999
0.8979591836734694,0.9666666666666667,0.8787878787878788,0.9206349206349207
0.9183673469387755,0.9666666666666667,0.90625,0.9354838709677419
0.8775510204081632,0.9583333333333334,0.8214285714285714,0.8846153846153847
0.8979591836734694,0.9583333333333334,0.8518518518518519,0.9019607843137256
1.0,1.0,1.0,1.0
0.8979591836734694,0.7777777777777778,0.7,0.7368421052631577
0.8163265306122449,0.8461538461538461,0.8148148148148148,0.830188679245283
